prediction,kFoldIndex,modelName,r2,MeanAveErr,RootMeanSqErr
DiffMeanHourlyPercent,0,linear_reg,0.5285659024335054,6.346524255429835,9.731611359721079
DiffMeanHourlyPercent,0,decision_tree,-0.041323558533361116,6.801567683789215,14.463290467152973
DiffMeanHourlyPercent,0,adaboost,0.12092534250366327,9.899987709411079,13.288842109241259
DiffMeanHourlyPercent,0,gradboost,0.5733936054182955,5.870982162088165,9.257376816963463
DiffMeanHourlyPercent,0,random_forest,0.6085970481113332,5.631920275718559,8.867196030627246
DiffMeanHourlyPercent,0,extra_trees,0.6306859673754721,5.40260801144492,8.613351411956018
DiffMeanHourlyPercent,0,extra_trees2,0.6367761862827896,5.458548285392073,8.542036412126038
DiffMeanHourlyPercent,0,svm,0.5539171648830534,6.020889885396152,9.466338226422286
DiffMeanHourlyPercent,0,xgboost,0.6251269885473972,5.346337116302602,8.677934121280526
DiffMeanHourlyPercent,1,linear_reg,0.5641751792873153,6.2533605040987945,9.512268387475652
DiffMeanHourlyPercent,1,decision_tree,0.46368897084036353,6.425979513064631,10.552041228318403
DiffMeanHourlyPercent,1,adaboost,0.21533194268007183,9.622721591109167,12.763538772736602
DiffMeanHourlyPercent,1,gradboost,0.6316234910205206,5.705995045731172,8.74528725388744
DiffMeanHourlyPercent,1,random_forest,0.6586416134558856,5.465729613733906,8.41847455998736
DiffMeanHourlyPercent,1,extra_trees,0.6553808599345103,5.232838080374561,8.458586842191062
DiffMeanHourlyPercent,1,extra_trees2,0.6692447102399763,5.327376509413842,8.286698053871648
DiffMeanHourlyPercent,1,svm,0.5687226355072579,5.965723906239639,9.462512096737633
DiffMeanHourlyPercent,1,xgboost,0.6870354852336602,5.146088302559498,8.06075394264791
DiffMeanHourlyPercent,2,linear_reg,0.4474954406471362,6.322129048517169,11.981028385001473
DiffMeanHourlyPercent,2,decision_tree,0.40320939272256684,6.477581516706811,12.451943849055665
DiffMeanHourlyPercent,2,adaboost,0.30750993886223965,8.476765076920138,13.41321655487842
DiffMeanHourlyPercent,2,gradboost,0.4998258732564088,5.78380112834405,11.39952552219752
DiffMeanHourlyPercent,2,random_forest,0.5205464725282358,5.54413106139438,11.160905297201053
DiffMeanHourlyPercent,2,extra_trees,0.5438943252541297,5.263317767950052,10.885763676058938
DiffMeanHourlyPercent,2,extra_trees2,0.5367322778451274,5.38725122000169,10.970898194882313
DiffMeanHourlyPercent,2,svm,0.4559453562062261,6.023103469265335,11.889057425640381
DiffMeanHourlyPercent,2,xgboost,0.5399833881446621,5.255569602326566,10.932334751131686
DiffMedianHourlyPercent,0,linear_reg,0.5894902512267014,6.6247910976719995,10.105757347015071
DiffMedianHourlyPercent,0,decision_tree,0.5196349129875348,6.858704451844272,10.93182941323613
DiffMedianHourlyPercent,0,adaboost,0.35408442613836155,8.96319458408619,12.676372904362118
DiffMedianHourlyPercent,0,gradboost,0.6269573695576978,6.1086674688907125,9.63355011174595
DiffMedianHourlyPercent,0,random_forest,0.6496776865607741,5.760809728183119,9.335574058177041
DiffMedianHourlyPercent,0,extra_trees,0.6735757883398094,5.516503576537912,9.01152538438493
DiffMedianHourlyPercent,0,extra_trees2,0.6642869175576325,5.631647009056663,9.13884394254356
DiffMedianHourlyPercent,0,svm,0.5759600736793216,6.362283583085571,10.270947365017953
DiffMedianHourlyPercent,0,xgboost,0.6772258613652848,5.432620239892696,8.96100034086906
DiffMedianHourlyPercent,1,linear_reg,0.5988363859342125,6.531022430709657,9.977705433325639
DiffMedianHourlyPercent,1,decision_tree,0.5007914630301792,6.901504958475086,11.130403598893782
DiffMedianHourlyPercent,1,adaboost,0.4195274805291128,8.518255937121749,12.002196780575034
DiffMedianHourlyPercent,1,gradboost,0.633380635694857,5.986597194497042,9.538445679004791
DiffMedianHourlyPercent,1,random_forest,0.6607332182296906,5.637567358130663,9.175729039761633
DiffMedianHourlyPercent,1,extra_trees,0.6795703940429367,5.382129925868123,8.917358538779458
DiffMedianHourlyPercent,1,extra_trees2,0.6774237540508407,5.466686112598882,8.947178513523783
DiffMedianHourlyPercent,1,svm,0.5802068017677526,6.232132226078539,10.206753103671078
DiffMedianHourlyPercent,1,xgboost,0.6819812863250602,5.336750057972614,8.883748375711518
DiffMedianHourlyPercent,2,linear_reg,0.613161866939407,6.48492069621488,9.697268187822681
DiffMedianHourlyPercent,2,decision_tree,0.4187985306412011,7.0446024368417675,11.886339187819065
DiffMedianHourlyPercent,2,adaboost,0.4260914599889212,8.648098267554461,11.811528737989113
DiffMedianHourlyPercent,2,gradboost,0.630275700690489,6.0995928114377795,9.480336759693873
DiffMedianHourlyPercent,2,random_forest,0.6615390457122141,5.7569630506416924,9.070663471899227
DiffMedianHourlyPercent,2,extra_trees,0.6865468223122801,5.486003902185224,8.729132903006947
DiffMedianHourlyPercent,2,extra_trees2,0.6863040152632253,5.547287710205871,8.732513128284603
DiffMedianHourlyPercent,2,svm,0.5873738095488998,6.338445346830009,10.015281544325159
DiffMedianHourlyPercent,2,xgboost,0.6837138619361521,5.460516467719929,8.768490716588225
